studyID,study.name,unique.site.id,site.num,site.name,longitude,long360,latitude,day,month,year,date,density,region,min.dist,nat.invas,max.density,stand.den,NAirT.Match,NAirT.Mean,NAirT.Min,NAirT.Max,MinDist,HADiSST.Match_1,HADiSST.Mean_1,HADiSST.Min_1,HADiSST.Max_1,MinDist_1,abun,beta.abun,rounded.den,
1,quinn,1.01,1,clarke head,-64.242328,295.757672,44.881764,15,6,2014,15/6/2014,0,nw.atl,5.218236,i,18,0,15.9,6.1,-5.9,19.9,0.131987163,10.31544113,8.59672453,2.623302937,14.98975754,0.460585075,0,5.07E-05,0,
1,quinn,1.01,1,clarke head,-64.242328,295.757672,44.881764,15,6,2014,15/6/2014,0,nw.atl,5.218236,i,18,0,15.9,6.1,-5.9,19.9,0.131987163,10.31544113,8.59672453,2.623302937,14.98975754,0.460585075,0,5.07E-05,0,
1,quinn,1.01,1,clarke head,-64.242328,295.757672,44.881764,15,6,2014,15/6/2014,0,nw.atl,5.218236,i,18,0,15.9,6.1,-5.9,19.9,0.131987163,10.31544113,8.59672453,2.623302937,14.98975754,0.460585075,0,5.07E-05,0,
1,quinn,1.01,1,clarke head,-64.242328,295.757672,44.881764,15,6,2014,15/6/2014,0,nw.atl,5.218236,i,18,0,15.9,6.1,-5.9,19.9,0.131987163,10.31544113,8.59672453,2.623302937,14.98975754,0.460585075,0,5.07E-05,0,
1,quinn,1.01,1,clarke head,-64.242328,295.757672,44.881764,15,6,2014,15/6/2014,0,nw.atl,5.218236,i,18,0,15.9,6.1,-5.9,19.9,0.131987163,10.31544113,8.59672453,2.623302937,14.98975754,0.460585075,0,5.07E-05,0,
1,quinn,1.01,1,clarke head,-64.242328,295.757672,44.881764,15,6,2014,15/6/2014,1,nw.atl,5.218236,i,18,5.555555556,15.9,6.1,-5.9,19.9,0.131987163,10.31544113,8.59672453,2.623302937,14.98975754,0.460585075,0.06,0.060044652,6,
1,quinn,1.01,1,clarke head,-64.242328,295.757672,44.881764,15,6,2014,15/6/2014,1,nw.atl,5.218236,i,18,5.555555556,15.9,6.1,-5.9,19.9,0.131987163,10.31544113,8.59672453,2.623302937,14.98975754,0.460585075,0.06,0.060044652,6,
1,quinn,1.01,1,clarke head,-64.242328,295.757672,44.881764,15,6,2014,15/6/2014,1,nw.atl,5.218236,i,18,5.555555556,15.9,6.1,-5.9,19.9,0.131987163,10.31544113,8.59672453,2.623302937,14.98975754,0.460585075,0.06,0.060044652,6,
1,quinn,1.01,1,clarke head,-64.242328,295.757672,44.881764,15,6,2014,15/6/2014,1,nw.atl,5.218236,i,18,5.555555556,15.9,6.1,-5.9,19.9,0.131987163,10.31544113,8.59672453,2.623302937,14.98975754,0.460585075,0.06,0.060044652,6,
1,quinn,1.01,1,clarke head,-64.242328,295.757672,44.881764,15,6,2014,15/6/2014,1,nw.atl,5.218236,i,18,5.555555556,15.9,6.1,-5.9,19.9,0.131987163,10.31544113,8.59672453,2.623302937,14.98975754,0.460585075,0.06,0.060044652,6,
